mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_bootstrap,param_criterion,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_f1_score,split1_test_f1_score,split2_test_f1_score,split3_test_f1_score,split4_test_f1_score,mean_test_f1_score,std_test_f1_score,rank_test_f1_score,split0_test_accuracy_score,split1_test_accuracy_score,split2_test_accuracy_score,split3_test_accuracy_score,split4_test_accuracy_score,mean_test_accuracy_score,std_test_accuracy_score,rank_test_accuracy_score,split0_test_matthews_corrcoef,split1_test_matthews_corrcoef,split2_test_matthews_corrcoef,split3_test_matthews_corrcoef,split4_test_matthews_corrcoef,mean_test_matthews_corrcoef,std_test_matthews_corrcoef,rank_test_matthews_corrcoef
0.28705387115478515,0.005346425362346564,0.029718399047851562,0.0009213861740046068,True,gini,10,auto,1,2,50,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}",0.9493414387031408,0.940766550522648,0.9505247376311844,0.9564336372847011,0.9554331497245869,0.9504999027732521,0.005579013040699263,168,0.9434708875070661,0.9327303561334087,0.9440361786319955,0.9513849632560769,0.9496606334841629,0.9442566038025421,0.006535095530772708,189,0.8854918876228215,0.8643019094239556,0.8871619969383248,0.9015687046957765,0.8984627002812543,0.8873974397924265,0.013117582277661773,186
0.560085391998291,0.0024524339388084424,0.05196199417114258,0.003731946184476902,True,gini,10,auto,1,2,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",0.9488089204257477,0.9443339960238569,0.9473684210526316,0.9561224489795919,0.9546370967741936,0.9502541766512044,0.0044522241299592615,183,0.9429055963821368,0.9366873940079141,0.9406444318824194,0.9513849632560769,0.9490950226244343,0.9441434816305965,0.005409727645852733,195,0.8843469556281257,0.872491524758535,0.8800789684987044,0.9016230826931533,0.8970073528679231,0.8871095768892883,0.010764355983651424,196
1.0946029663085937,0.011903310620128421,0.0908895492553711,0.0019935929950561223,True,gini,10,auto,1,2,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",0.9479008598887203,0.9456900847035375,0.9488465396188567,0.9568746829020802,0.9530540131246845,0.9504732360475758,0.003994514471286967,170,0.9417750141322782,0.9383832673827021,0.9423403052572075,0.9519502543810062,0.9473981900452488,0.9443694062396885,0.004760772405855302,181,0.8820565353682721,0.8757522497645698,0.8835024925874622,0.9027063815467644,0.8935217854968142,0.8875078889527765,0.009498596079861036,181
2.735388422012329,0.016787283453575698,0.21519169807434083,0.004362276988304178,True,gini,10,auto,1,2,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 500}",0.9482233502538071,0.944748631159781,0.9483709273182958,0.9563451776649747,0.956082786471479,0.9507541745736676,0.0046433804763084995,160,0.9423403052572075,0.9372526851328434,0.9417750141322782,0.9513849632560769,0.9507918552036199,0.9447089645964052,0.005502458215618393,164,0.8832118266994313,0.8735230480381824,0.8823785965594635,0.9015605622812933,0.9004100949307704,0.8882168257018282,0.010970625843159831,166
0.266648006439209,0.0017178144057655065,0.03183703422546387,0.005499170916122042,True,gini,10,auto,1,16,50,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 50}",0.9438775510204082,0.9432270916334661,0.9438877755511023,0.9559493670886076,0.9468892261001517,0.9467662022787472,0.004764464323802987,255,0.9378179762577727,0.9355568117580554,0.9366873940079141,0.9508196721311475,0.9406108597285068,0.9402985427766792,0.0055221250168699665,254,0.87417150978184,0.8700275641285469,0.8720554088223827,0.9004275020561507,0.8797169518595916,0.8792797873297022,0.011057185260855959,253
0.5387217044830322,0.005682169581160805,0.048917293548583984,0.0003293761428686061,True,gini,10,auto,1,16,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 100}",0.9468354430379747,0.9438090502237693,0.9458917835671342,0.9548910288900151,0.9488089204257477,0.9480472452289282,0.0037813833535474133,244,0.9406444318824194,0.9361221028829847,0.9389485585076315,0.9496890898812889,0.9428733031674208,0.941655497264349,0.004582354974712827,243,0.8797611758198313,0.8712968786324782,0.8766554524121083,0.8981272336750267,0.8842941836149533,0.8820269848308795,0.009093741069542235,244
1.0845084190368652,0.012573477165223433,0.0911025047302246,0.0048516488563586264,True,gini,10,auto,1,16,200,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 200}",0.9456024402643619,0.9435846230654018,0.9442491210447012,0.954753431621759,0.9493927125506073,0.9475164657093662,0.004139864707092201,248,0.9395138496325608,0.9361221028829847,0.9372526851328434,0.9496890898812889,0.9434389140271493,0.9412033283113654,0.004925175418162628,247,0.8775083254179101,0.8710089087928243,0.8730904776893108,0.8981320771524767,0.88544879523235,0.8810377168569744,0.009877924598334394,247
2.6643818378448487,0.0014731783302421044,0.20828642845153808,0.0014046512816948524,True,gini,10,auto,1,16,500,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 16, 'n_estimators': 500}",0.9451219512195121,0.9442231075697212,0.9442491210447012,0.9537836465210767,0.9468354430379746,0.9468426538785971,0.003597962865984101,252,0.9389485585076315,0.9366873940079141,0.9372526851328434,0.9485585076314302,0.9406108597285068,0.9404116010016651,0.004298854550046532,252,0.8763542661807407,0.8723324161417724,0.8730904776893108,0.8958352363927031,0.8797098377855194,0.8794644468380094,0.008593364133360879,252
0.2625763416290283,0.005889667604898424,0.028519344329833985,0.0005144277940763179,True,gini,10,auto,1,64,50,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 64, 'n_estimators': 50}",0.9400921658986177,0.9430569430569431,0.9414707353676839,0.9521410579345089,0.939516129032258,0.9432554062580023,0.004607982797002142,657,0.9338609383832673,0.9355568117580554,0.9338609383832673,0.9462973431317129,0.9321266968325792,0.9363405456977765,0.00509520325709921,650,0.8663244631462538,0.8698270771689657,0.866384820898802,0.8913580655220635,0.8625498471057627,0.8712888547683695,0.010295387329527788,644
0.5291640281677246,0.007496190307960165,0.048933982849121094,0.0007419380090739239,True,gini,10,auto,1,64,100,"{'bootstrap': True, 'criterion': 'gini', 'max_depth': 10, 'max_features': 'auto', 'min_samples_leaf': 1, 'min_samples_split': 64, 'n_estimators': 100}",0.9445292620865141,0.942643391521197,0.9393483709273183,0.952959028831563,0.9409389197375063,0.9440837946208198,0.004761459025059727,517,0.9383832673827021,0.9349915206331261,0.93159977388355,0.9474279253815715,0.9338235294117647,0.9372452033385429,0.005543299196387991,502,0.8752404436080888,0.8687702164671679,0.8616819440126317,0.8935615051880863,0.8659685477609892,0.8730445314073927,0.011164371443004003,498
